,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
39,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,-0.1,10.0,False,False,9999,0.08,-0.114,-4.514,10.754,10754.5,1.92,-2.886,9.514
40,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,0.1,-10.0,False,False,9999,0.129,-0.154,13.584,92.605,92605.411,1.871,-2.846,-8.584
41,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,0.1,-0.1,False,False,9999,0.106,-0.138,4.626,11.183,11182.593,1.894,-2.862,0.374
42,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,0.1,0.1,False,False,9999,0.105,-0.137,4.445,10.364,10364.39,1.895,-2.863,0.555
43,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,0.1,10.0,False,False,9999,0.082,-0.121,-4.514,10.785,10785.102,1.918,-2.879,9.514
44,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,10.0,-10.0,False,False,9999,0.191,-0.517,13.6,96.659,96659.45,1.809,-2.483,-8.6
45,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,10.0,-0.1,False,False,9999,0.168,-0.5,4.642,15.095,15095.068,1.832,-2.5,0.358
46,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,10.0,0.1,False,False,9999,0.167,-0.5,4.461,14.274,14274.005,1.833,-2.5,0.539
47,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,0.1,10.0,10.0,False,False,9999,0.144,-0.484,-4.497,14.553,14553.152,1.856,-2.516,9.497
48,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-10.0,-10.0,False,False,9999,-0.328,0.278,13.544,95.194,95193.945,2.328,-3.278,-8.544
49,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-10.0,-0.1,False,False,9999,-0.352,0.294,4.586,14.119,14119.317,2.352,-3.294,0.414
50,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-10.0,0.1,False,False,9999,-0.352,0.295,4.405,13.308,13308.148,2.352,-3.295,0.595
51,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-10.0,10.0,False,False,9999,-0.376,0.311,-4.554,14.077,14077.049,2.376,-3.311,9.554
52,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-0.1,-10.0,False,False,9999,-0.266,-0.084,13.56,93.442,93441.536,2.266,-2.916,-8.56
53,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-0.1,-0.1,False,False,9999,-0.289,-0.068,4.602,12.225,12225.343,2.289,-2.932,0.398
54,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-0.1,0.1,False,False,9999,-0.29,-0.068,4.421,11.411,11411.314,2.29,-2.932,0.579
55,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,-0.1,10.0,False,False,9999,-0.313,-0.052,-4.537,12.039,12038.65,2.313,-2.948,9.537
56,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,0.1,-10.0,False,False,9999,-0.265,-0.092,13.56,93.452,93451.655,2.265,-2.908,-8.56
57,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,0.1,-0.1,False,False,9999,-0.288,-0.075,4.602,12.233,12232.602,2.288,-2.925,0.398
58,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,0.1,0.1,False,False,9999,-0.289,-0.075,4.421,11.419,11418.515,2.289,-2.925,0.579
59,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,0.1,10.0,False,False,9999,-0.312,-0.059,-4.537,12.043,12042.991,2.312,-2.941,9.537
60,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,10.0,-10.0,False,False,9999,-0.203,-0.454,13.577,96.206,96205.782,2.203,-2.546,-8.577
61,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,10.0,-0.1,False,False,9999,-0.226,-0.438,4.618,14.845,14845.164,2.226,-2.562,0.382
62,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,10.0,0.1,False,False,9999,-0.226,-0.438,4.437,14.028,14028.217,2.226,-2.562,0.563
63,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-08,10.0,10.0,10.0,False,False,9999,-0.25,-0.421,-4.521,14.511,14511.129,2.25,-2.579,9.521
64,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-10.0,-10.0,False,False,9999,0.014,-0.015,5.535,15.405,15404.789,1.986,-2.985,-0.535
65,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-10.0,-0.1,False,False,9999,0.004,-0.008,1.892,1.924,1924.065,1.996,-2.992,3.108
66,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-10.0,0.1,False,False,9999,0.003,-0.007,1.818,1.788,1788.474,1.997,-2.993,3.182
67,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-10.0,10.0,False,False,9999,-0.007,-0.001,-1.825,1.846,1845.687,2.007,-2.999,6.825
68,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-0.1,-10.0,False,False,9999,0.014,-0.015,5.542,15.443,15443.325,1.986,-2.985,-0.542
69,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-0.1,-0.1,False,False,9999,0.004,-0.008,1.899,1.937,1937.196,1.996,-2.992,3.101
70,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,-10.0,-0.1,0.1,False,False,9999,0.003,-0.008,1.825,1.801,1801.092,1.997,-2.992,3.175
